Sifra,Zupanija,JLS,2012,2013,2014,2015,2016,2017,2018
19,Vukovarsko-srijemska,ANDRIJAŠEVCI,5,0,0,0,0,0,0
27,Osje?ko-baranjska,ANTUNOVAC,5,0,0,0,0,0,0
35,Vukovarsko-srijemska,BABINA GREDA,0,0,0,0,0,0,0
43,Primorsko-goranska,BAKAR,5,5,11,11,5,5,10
51,Istarska,BALE - VALLE,5,5,5,0,5,5,5
60,Istarska,BARBAN,5,0,5,0,5,0,5
78,Karlova?ka,BARILOVI?,0,0,0,0,0,0,0
86,Primorsko-goranska,BAŠKA,27,49,34,39,26,44,27
94,Splitsko-dalmatinska,BAŠKA VODA,19,25,22,30,30,30,25
108,Brodsko-posavska,BEBRINA,0,0,0,0,0,0,0
116,Krapinsko-5agorska,BEDEKOV?INA,5,5,5,5,5,5,5
5509,5agreba?ka,BEDENICA,0,0,0,0,0,0,0
124,Varaždinska,BEDNJA,5,5,5,0,5,0,5
132,Osje?ko-baranjska,BELI MANASTIR,18,12,14,20,34,24,19
159,Me?imurska,BELICA,0,0,0,5,0,0,0
167,Osje?ko-baranjska,BELIŠ?E,12,5,13,30,10,13,16
175,5adarska,BENKOVAC,5,5,10,5,25,25,21
183,Bjelovarsko-bilogorska,BEREK,0,0,0,0,5,0,0
191,Varaždinska,BERETINEC,0,0,0,0,0,0,0
205,5adarska,BIBINJE,5,5,5,5,0,5,5
6211,Šibensko-kninska,BILICE,5,0,0,0,0,5,0
213,Osje?ko-baranjska,BILJE,0,5,5,0,5,0,0
221,5adarska,BIOGRAD NA MORU,56,37,61,57,67,112,65
3107,Šibensko-kninska,BISKUPIJA,0,0,0,0,0,0,0
5479,5agreba?ka,BISTRA,5,5,0,0,5,0,5
230,Osje?ko-baranjska,BI5OVAC,0,0,0,0,0,0,5
248,Bjelovarsko-bilogorska,BJELOVAR,120,77,78,83,88,101,158
256,Dubrova?ko-neretvanska,BLATO,5,0,0,5,5,5,5
264,Vukovarsko-srijemska,BOGDANOVCI,0,0,0,0,0,0,0
272,Splitsko-dalmatinska,BOL,32,11,11,13,34,31,14
299,Vukovarsko-srijemska,BOROVO,5,0,5,0,5,0,0
302,Karlova?ka,BOSILJEVO,0,0,0,0,0,0,0
329,Vukovarsko-srijemska,BOŠNJACI,0,0,0,0,0,0,5
337,5agreba?ka,BRCKOVLJANI,5,5,0,0,5,0,5
345,5agreba?ka,BRDOVEC,5,5,5,5,5,0,5
779,Splitsko-dalmatinska,BRELA,5,5,5,5,5,11,5
353,Požeško-slavonska,BRESTOVAC,0,0,0,0,0,0,0
361,Varaždinska,BRE5NICA,0,0,0,0,5,0,0
1511,Varaždinska,BRE5NI?KI HUM,0,0,0,0,0,0,0
370,Li?ko-senjska,BRINJE,5,0,0,5,0,0,0
388,Primorsko-goranska,BROD MORAVICE,0,0,0,5,0,0,5
396,Brodsko-posavska,BRODSKI STUPNIK,0,0,0,0,5,0,0
400,Istarska,BRTONIGLA - VERTENEGLIO,10,5,5,13,51,18,14
418,Krapinsko-5agorska,BUDINŠ?INA,0,5,0,0,0,0,0
426,Istarska,BUJE - BUIE,14,14,15,15,10,23,42
5673,Brodsko-posavska,BUKOVLJE,0,0,0,0,0,0,0
434,Istarska,BU5ET,5,5,5,5,5,5,5
442,Vukovarsko-srijemska,CERNA,0,0,0,5,0,0,5
469,Brodsko-posavska,CERNIK,0,0,0,0,5,0,0
477,Istarska,CEROVLJE,0,0,5,0,0,0,5
485,Varaždinska,CESTICA,0,0,0,5,5,0,0
493,Karlova?ka,CETINGRAD,0,0,0,0,0,0,0
507,Splitsko-dalmatinska,CISTA PROVO,0,0,5,0,0,0,0
515,Šibensko-kninska,CIVLJANE,0,0,0,0,0,0,0
523,Primorsko-goranska,CRES,24,24,46,30,32,47,58
531,Primorsko-goranska,CRIKVENICA,185,135,174,150,244,226,295
540,Viroviti?ko-podravska,CRNAC,0,5,0,5,0,0,0
558,Primorsko-goranska,?ABAR,5,0,5,5,5,5,5
566,Viroviti?ko-podravska,?A?INCI,5,0,0,0,0,0,5
574,Viroviti?ko-podravska,?A?AVICA,0,5,0,0,0,0,0
582,Požeško-slavonska,?AGLIN,0,5,0,0,0,0,0
604,Me?imurska,?AKOVEC,80,53,117,91,214,188,183
612,Primorsko-goranska,?AVLE,18,13,5,5,10,15,5
639,Bjelovarsko-bilogorska,?A5MA,5,5,5,5,5,10,16
647,Osje?ko-baranjska,?EMINAC,5,5,5,0,5,0,5
655,Osje?ko-baranjska,?EPIN,5,5,5,0,0,0,5
663,Osje?ko-baranjska,DARDA,5,5,5,5,11,5,5
671,Bjelovarsko-bilogorska,DARUVAR,19,22,14,18,27,21,26
680,Brodsko-posavska,DAVOR,0,0,0,0,0,0,0
6033,Me?imurska,DEKANOVEC,0,0,5,0,0,0,0
698,Primorsko-goranska,DELNICE,12,5,5,5,12,12,11
701,Krapinsko-5agorska,DESINI?,0,5,5,0,5,0,5
710,Bjelovarsko-bilogorska,DEŽANOVAC,0,0,0,0,0,0,0
728,Splitsko-dalmatinska,DICMO,0,0,0,0,0,0,0
744,Primorsko-goranska,DOBRINJ,112,78,91,78,78,121,74
752,Me?imurska,DOMAŠINEC,0,0,0,0,0,0,5
787,Me?imurska,DONJA DUBRAVA,0,5,0,0,5,0,0
5762,Osje?ko-baranjska,DONJA MOTI?INA,0,0,0,0,0,0,0
795,Krapinsko-5agorska,DONJA STUBICA,5,5,0,5,5,5,5
809,Varaždinska,DONJA VO?A,0,5,0,0,0,0,5
817,Brodsko-posavska,DONJI ANDRIJEVCI,0,0,0,5,0,0,5
825,Me?imurska,DONJI KRALJEVEC,5,0,0,0,0,5,5
833,Sisa?ko-moslava?ka,DONJI KUKURU5ARI,0,0,0,0,0,0,0
841,Li?ko-senjska,DONJI LAPAC,0,5,0,5,0,0,5
868,Osje?ko-baranjska,DONJI MIHOLJAC,5,5,12,13,13,23,15
892,Me?imurska,DONJI VIDOVEC,0,0,0,0,0,0,0
5681,Brodsko-posavska,DRAGALI?,0,0,0,0,0,0,0
906,Karlova?ka,DRAGANI?,0,0,0,0,5,0,0
914,Osje?ko-baranjska,DRAŽ,0,0,0,5,0,0,0
922,Vukovarsko-srijemska,DRENOVCI,0,5,0,0,5,0,0
949,Osje?ko-baranjska,DRENJE,0,0,0,0,0,0,0
957,Šibensko-kninska,DRNIŠ,5,5,5,5,5,5,11
965,Koprivni?ko-križeva?ka,DRNJE,0,0,0,0,0,0,5
973,5agreba?ka,DUBRAVA,0,0,0,5,5,0,0
5495,5agreba?ka,DUBRAVICA,0,0,0,0,5,0,0
5983,Dubrova?ko-neretvanska,DUBROVA?KO PRIMORJE,5,0,5,5,0,5,5
981,Dubrova?ko-neretvanska,DUBROVNIK,235,225,273,254,290,327,273
990,Karlova?ka,DUGA RESA,18,12,21,19,31,20,27
1007,Splitsko-dalmatinska,DUGI RAT,10,5,5,11,11,17,21
1015,5agreba?ka,DUGO SELO,88,50,39,43,45,61,68
5851,Splitsko-dalmatinska,DUGOPOLJE,0,5,5,5,5,5,20
1023,Sisa?ko-moslava?ka,DVOR,0,0,0,0,0,0,5
1031,Osje?ko-baranjska,?AKOVO,73,55,30,57,72,50,58
1040,Koprivni?ko-križeva?ka,?ELEKOVEC,0,5,0,0,5,0,5
1058,Bjelovarsko-bilogorska,?ULOVAC,0,0,5,0,0,0,5
1066,Osje?ko-baranjska,?UR?ENOVAC,5,5,5,5,15,5,10
1074,Koprivni?ko-križeva?ka,?UR?EVAC,5,12,5,11,14,13,19
1082,Krapinsko-5agorska,?URMANEC,0,5,0,0,0,0,0
1104,Osje?ko-baranjska,ERDUT,0,0,0,0,0,0,0
1112,Osje?ko-baranjska,ERNESTINOVO,0,0,0,0,0,0,0
1139,Šibensko-kninska,ERVENIK,0,0,0,0,0,0,0
1147,5agreba?ka,FARKAŠEVAC,0,0,0,0,0,0,0
6190,Istarska,FAŽANA - FASANA,25,25,33,35,35,35,55
1155,Koprivni?ko-križeva?ka,FERDINANDOVAC,5,0,0,5,0,0,5
1163,Osje?ko-baranjska,FERI?ANCI,0,0,0,0,0,0,0
6297,Istarska,FUNTANA - FONTANE,5,5,22,11,11,23,13
1171,Primorsko-goranska,FUŽINE,19,5,5,5,5,0,14
5711,5adarska,GALOVAC,0,0,0,0,0,0,0
1180,Brodsko-posavska,GAR?IN,0,0,5,5,0,0,5
1198,Bjelovarsko-bilogorska,GAREŠNICA,5,10,12,5,5,5,15
1201,Karlova?ka,GENERALSKI STOL,0,0,0,0,0,0,0
1210,Sisa?ko-moslava?ka,GLINA,5,5,5,0,5,5,5
1228,Koprivni?ko-križeva?ka,GOLA,5,0,5,0,0,0,5
1236,Me?imurska,GORI?AN,5,0,0,0,0,0,5
1244,Osje?ko-baranjska,GORJANI,0,0,0,0,0,0,0
6181,Koprivni?ko-križeva?ka,GORNJA RIJEKA,5,5,0,0,0,0,0
1252,Krapinsko-5agorska,GORNJA STUBICA,0,5,0,0,0,0,5
5690,Brodsko-posavska,GORNJA VRBA,0,0,0,0,0,0,0
1279,Brodsko-posavska,GORNJI BOGI?EVCI,0,0,0,0,0,0,0
1295,Varaždinska,GORNJI KNEGINEC,0,0,5,5,0,0,0
6041,Me?imurska,GORNJI MIHALJEVEC,5,0,0,0,0,0,0
1309,Li?ko-senjska,GOSPI?,34,38,18,27,68,35,41
1317,5adarska,GRA?AC,5,5,5,5,5,0,0
1325,Istarska,GRA?IŠ?E,0,0,0,0,0,0,0
1333,Grad 5agreb,GRAD 5AGREB,4834,4506,4280,5401,7278,7516,8362
1341,Splitsko-dalmatinska,GRADAC,5,5,5,5,5,5,5
1350,5agreba?ka,GRADEC,5,0,5,0,0,0,0
1368,Viroviti?ko-podravska,GRADINA,0,5,0,0,0,0,0
1376,Vukovarsko-srijemska,GRADIŠTE,0,0,0,5,0,0,0
1384,Istarska,GROŽNJAN - GRISIGNANA,0,0,0,5,0,0,5
1392,Bjelovarsko-bilogorska,GRUBIŠNO POLJE,5,10,5,0,5,5,5
1406,Brodsko-posavska,GUNDINCI,0,0,0,0,0,0,0
1414,Vukovarsko-srijemska,GUNJA,0,5,0,0,0,0,5
5100,Sisa?ko-moslava?ka,GVO5D,0,5,0,0,5,0,5
1449,Bjelovarsko-bilogorska,HERCEGOVAC,0,5,0,0,0,0,5
1457,Koprivni?ko-križeva?ka,HLEBINE,0,0,0,0,0,0,5
1465,Krapinsko-5agorska,HRAŠ?INA,0,0,0,0,0,0,5
1481,Splitsko-dalmatinska,HRVACE,0,0,0,5,0,0,0
1490,Sisa?ko-moslava?ka,HRVATSKA DUBICA,0,0,0,0,0,0,0
1503,Sisa?ko-moslava?ka,HRVATSKA KOSTAJNICA,5,0,5,5,5,5,5
1520,Krapinsko-5agorska,HUM NA SUTLI,5,5,5,5,5,5,5
1538,Splitsko-dalmatinska,HVAR,12,18,12,5,19,26,25
1546,Vukovarsko-srijemska,ILOK,0,0,0,5,5,5,5
1554,Splitsko-dalmatinska,IMOTSKI,13,11,5,5,12,5,11
1562,Varaždinska,IVANEC,17,10,19,17,24,13,21
1589,5agreba?ka,IVANI?-GRAD,21,16,29,24,24,27,32
1597,Vukovarsko-srijemska,IVANKOVO,0,0,5,0,5,0,5
1619,Bjelovarsko-bilogorska,IVANSKA,0,0,0,0,0,0,0
6092,Osje?ko-baranjska,JAGODNJAK,0,0,0,0,0,0,0
1635,5agreba?ka,JAKOVLJE,0,5,0,0,0,0,0
1643,Požeško-slavonska,JAKŠI?,0,0,0,0,0,0,0
1651,Varaždinska,JALŽABET,0,0,0,0,0,0,0
5991,Dubrova?ko-neretvanska,JANJINA,5,5,5,0,0,0,0
1660,Vukovarsko-srijemska,JARMINA,0,0,0,0,0,0,0
1678,5adarska,JASENICE,5,5,5,5,13,5,5
1686,Sisa?ko-moslava?ka,JASENOVAC,0,0,0,0,0,0,5
1694,5agreba?ka,JASTREBARSKO,5,5,5,15,32,12,25
1708,Primorsko-goranska,JELENJE,0,5,5,5,5,0,5
1716,Splitsko-dalmatinska,JELSA,5,5,5,5,5,5,5
5525,Krapinsko-5agorska,JESENJE,0,0,0,0,0,0,0
1724,Karlova?ka,JOSIPDOL,0,0,5,0,0,0,5
1732,5adarska,KALI,5,0,0,5,5,5,5
5592,Koprivni?ko-križeva?ka,KALINOVAC,0,0,0,5,5,0,5
5606,Koprivni?ko-križeva?ka,KALNIK,0,0,0,0,0,0,0
6238,Karlova?ka,KAMANJE,0,0,0,0,0,0,0
1759,Istarska,KANFANAR,0,5,5,5,5,0,5
1767,Bjelovarsko-bilogorska,KAPELA,0,5,5,0,0,0,5
1775,Požeško-slavonska,KAPTOL,5,0,0,5,0,0,5
1783,Li?ko-senjska,KARLOBAG,14,5,11,5,10,13,5
1791,Karlova?ka,KARLOVAC,264,214,240,260,437,251,278
5967,Istarska,KAROJBA,0,0,0,5,0,0,0
1805,Primorsko-goranska,KASTAV,51,23,35,43,57,88,57
1813,Splitsko-dalmatinska,KAŠTELA,51,66,65,69,95,135,173
5975,Istarska,KAŠTELIR-LABINCI - CASTELLIERE-S0 DOMENICA,5,5,11,5,0,5,5
1830,Šibensko-kninska,KIJEVO,0,0,0,0,0,0,0
1848,Šibensko-kninska,KISTANJE,5,0,0,0,5,0,0
1856,Brodsko-posavska,KLAKAR,0,0,0,0,0,0,5
1864,Primorsko-goranska,KLANA,5,5,5,5,0,5,5
1872,Krapinsko-5agorska,KLANJEC,5,5,0,0,5,0,0
1899,Varaždinska,KLENOVNIK,0,5,0,5,0,0,0
1902,5agreba?ka,KLIN?A SELA,5,0,5,23,14,5,5
1929,Splitsko-dalmatinska,KLIS,5,5,5,14,11,15,26
1937,5agreba?ka,KLOŠTAR IVANI?,0,5,0,0,5,5,5
1945,Koprivni?ko-križeva?ka,KLOŠTAR PODRAVSKI,5,0,0,0,0,0,5
1953,Osje?ko-baranjska,KNEŽEVI VINOGRADI,5,0,0,5,5,0,5
1961,Šibensko-kninska,KNIN,49,35,59,33,48,50,82
6220,5adarska,KOLAN,29,42,72,42,48,70,102
1970,Splitsko-dalmatinska,KOMIŽA,0,5,0,5,5,5,5
1988,Dubrova?ko-neretvanska,KONAVLE,35,43,34,23,24,12,29
1996,Bjelovarsko-bilogorska,KON?ANICA,0,0,0,0,0,0,0
2003,Krapinsko-5agorska,KONJŠ?INA,5,5,5,5,5,5,5
2011,Koprivni?ko-križeva?ka,KOPRIVNICA,88,49,96,64,77,125,156
2020,Koprivni?ko-križeva?ka,KOPRIVNI?KI BREGI,5,5,0,0,5,0,5
2038,Koprivni?ko-križeva?ka,KOPRIVNI?KI IVANEC,0,0,0,0,0,0,0
2046,Dubrova?ko-neretvanska,KOR?ULA,5,14,13,5,26,39,18
5380,Primorsko-goranska,KOSTRENA,25,23,26,39,15,26,29
2054,Osje?ko-baranjska,KOŠKA,5,0,0,0,0,0,0
2062,Me?imurska,KOTORIBA,0,0,5,0,5,0,5
2089,Krapinsko-5agorska,KRALJEVEC NA SUTLI,0,0,0,0,0,0,0
2097,Primorsko-goranska,KRALJEVICA,10,5,20,11,24,12,20
2119,Krapinsko-5agorska,KRAPINA,34,41,40,14,33,21,23
2127,Krapinsko-5agorska,KRAPINSKE TOPLICE,5,5,13,5,5,5,17
5339,5agreba?ka,KRAŠI?,0,5,5,0,0,0,0
5452,5agreba?ka,KRAVARSKO,0,0,0,0,0,0,0
2135,5agreba?ka,KRIŽ,5,5,5,5,5,5,10
2143,Koprivni?ko-križeva?ka,KRIŽEVCI,22,23,14,19,27,31,29
2151,Primorsko-goranska,KRK,56,64,62,71,76,90,77
2160,Karlova?ka,KRNJAK,0,0,0,0,0,0,0
2178,Istarska,KRŠAN,5,5,5,5,5,5,5
5720,5adarska,KUKLJICA,5,5,5,0,5,5,5
2194,Dubrova?ko-neretvanska,KULA NORINSKA,0,0,0,0,5,0,0
5533,Krapinsko-5agorska,KUMROVEC,5,5,0,0,5,0,0
2208,Sisa?ko-moslava?ka,KUTINA,38,24,21,14,53,38,35
2216,Požeško-slavonska,KUTJEVO,0,5,0,5,5,0,5
2224,Istarska,LABIN,46,47,44,38,76,70,88
2232,Istarska,LANIŠ?E,0,0,0,0,0,0,0
2259,Karlova?ka,LASINJA,0,0,0,0,0,0,0
2267,Dubrova?ko-neretvanska,LASTOVO,5,5,5,0,5,5,5
5860,Splitsko-dalmatinska,LE?EVICA,0,0,0,0,0,0,0
2275,Koprivni?ko-križeva?ka,LEGRAD,0,5,0,0,0,0,5
2283,Sisa?ko-moslava?ka,LEKENIK,0,0,0,0,0,0,0
2291,Varaždinska,LEPOGLAVA,5,5,5,5,5,0,5
2305,Osje?ko-baranjska,LEVANJSKA VAROŠ,0,0,0,0,0,0,0
2313,Požeško-slavonska,LIPIK,5,5,5,5,5,5,5
2321,Sisa?ko-moslava?ka,LIPOVLJANI,5,0,0,0,0,0,5
2348,5adarska,LIŠANE OSTROVI?KE,0,0,0,0,0,0,0
2356,Istarska,LIŽNJAN - LISIGNANO,35,40,34,28,50,87,55
2364,Krapinsko-5agorska,LOBOR,0,0,0,0,0,0,0
2372,Primorsko-goranska,LOKVE,0,5,5,0,5,0,0
5878,Splitsko-dalmatinska,LOKVI?I?I,0,0,0,0,0,0,0
6246,Primorsko-goranska,LOPAR,0,0,0,5,0,5,5
2399,Vukovarsko-srijemska,LOVAS,0,0,0,0,0,0,0
2402,Li?ko-senjska,LOVINAC,0,0,0,0,0,0,0
2429,Primorsko-goranska,LOVRAN,33,50,25,73,43,45,39
2437,Splitsko-dalmatinska,LOVRE?,0,0,5,5,0,0,0
2445,Varaždinska,LUDBREG,27,14,22,12,34,19,34
5487,5agreba?ka,LUKA,0,0,0,0,0,0,0
2453,Viroviti?ko-podravska,LUKA?,0,0,0,5,0,0,0
6009,Dubrova?ko-neretvanska,LUMBARDA,5,5,5,5,5,5,5
2461,Istarska,LUPOGLAV,0,0,0,0,0,0,0
2470,Varaždinska,LJUBEŠ?ICA,0,5,0,0,0,0,0
2488,Krapinsko-5agorska,MA?E,5,5,5,0,0,0,5
5789,Osje?ko-baranjska,MAGADENOVAC,0,0,0,0,0,0,0
5550,Sisa?ko-moslava?ka,MAJUR,0,0,0,0,0,0,0
2496,Splitsko-dalmatinska,MAKARSKA,152,152,265,134,166,206,227
2500,Me?imurska,MALA SUBOTICA,0,0,0,0,0,0,0
2518,Varaždinska,MALI BUKOVEC,0,0,0,0,0,0,0
2526,Primorsko-goranska,MALI LOŠINJ,58,44,69,44,69,91,69
2534,Primorsko-goranska,MALINSKA-DUBAŠNICA,114,155,128,119,137,171,142
2542,Istarska,MAR?ANA,5,12,5,5,20,20,20
2569,Krapinsko-5agorska,MARIJA BISTRICA,0,0,5,0,0,5,5
5398,5agreba?ka,MARIJA GORICA,0,0,0,0,0,0,5
2577,Osje?ko-baranjska,MARIJANCI,0,0,0,0,0,0,0
2585,Splitsko-dalmatinska,MARINA,5,5,20,25,13,10,5
6106,Vukovarsko-srijemska,MARKUŠICA,0,0,0,0,0,0,0
850,Varaždinska,MARTIJANEC,0,0,0,0,0,0,0
2593,Sisa?ko-moslava?ka,MARTINSKA VES,0,0,0,0,0,0,0
2607,Varaždinska,MARUŠEVEC,5,5,0,5,5,0,5
2615,Primorsko-goranska,MATULJI,55,38,29,56,48,51,58
2631,Istarska,MEDULIN,113,140,132,115,105,149,139
2640,Dubrova?ko-neretvanska,METKOVI?,28,30,41,16,28,42,68
2658,Krapinsko-5agorska,MIHOVLJAN,0,0,0,0,0,0,0
2666,Viroviti?ko-podravska,MIKLEUŠ,0,0,0,0,0,0,0
2674,Splitsko-dalmatinska,MILNA,11,5,5,0,5,10,5
2682,Dubrova?ko-neretvanska,MLJET,0,0,0,0,0,5,0
2704,Koprivni?ko-križeva?ka,MOLVE,0,0,0,5,0,0,5
2739,Primorsko-goranska,MOŠ?ENI?KA DRAGA,5,5,5,5,5,5,5
2747,Istarska,MOTOVUN - MONTONA,0,0,5,5,0,0,5
2755,Primorsko-goranska,MRKOPALJ,5,5,5,5,0,0,5
876,Splitsko-dalmatinska,MU?,0,0,0,0,0,0,0
