Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
876;Splitsko-dalmatinska;MU?;.;.;.;.;.;.;.;;
2763;Me?imurska;MURSKO SREDIŠ?E;z;.;z;10;z;.;20;;
6173;Šibensko-kninska;MURTER - KORNATI;z;z;z;z;20;28;18;;
2780;Osje?ko-baranjska;NAŠICE;45;24;32;40;45;44;48;;
2798;Me?imurska;NEDELIŠ?E;.;.;z;.;.;.;z;;
6122;Vukovarsko-srijemska;NEGOSLAVCI;.;.;.;.;.;.;.;;
2801;Splitsko-dalmatinska;NEREŽIŠ?A;.;.;.;.;.;.;z;;
2810;Karlova?ka;NETRETI?;.;.;.;z;.;.;.;;
2950;Vukovarsko-srijemska;NIJEMCI;.;.;.;.;.;.;.;;
2828;Zadarska;NIN;36;11;21;50;26;38;69;;
2836;Viroviti?ko-podravska;NOVA BUKOVICA;.;.;.;.;.;z;.;;
2844;Brodsko-posavska;NOVA GRADIŠKA;15;34;22;24;22;29;30;;
2852;Brodsko-posavska;NOVA KAPELA;.;.;z;.;.;.;.;;
2879;Bjelovarsko-bilogorska;NOVA RA?A;.;.;.;.;z;.;z;;
2887;Li?ko-senjska;NOVALJA;254;170;227;158;189;215;230;;
5541;Krapinsko-zagorska;NOVI GOLUBOVEC;.;.;.;.;.;.;.;;
2895;Varaždinska;NOVI MAROF;z;z;z;z;z;z;z;;
2909;Primorsko-goranska;NOVI VINODOLSKI;26;39;65;47;61;59;92;;
5371;Zadarska;NOVIGRAD;.;z;z;z;z;192;173;;
2917;Istarska;NOVIGRAD - CITTANOVA;.;.;.;.;.;.;z;;
2925;Koprivni?ko-križeva?ka;NOVIGRAD PODRAVSKI;.;z;z;.;.;.;z;;
5614;Koprivni?ko-križeva?ka;NOVO VIRJE;.;.;.;.;.;.;z;;
2933;Sisa?ko-moslava?ka;NOVSKA;z;z;z;z;z;z;12;;
2941;Vukovarsko-srijemska;NUŠTAR;.;z;.;.;.;.;z;;
2968;Zadarska;OBROVAC;z;z;27;20;15;13;19;;
2976;Karlova?ka;OGULIN;16;14;12;11;16;23;26;;
5886;Splitsko-dalmatinska;OKRUG;57;54;46;51;38;63;88;;
2992;Brodsko-posavska;OKU?ANI;z;z;.;z;z;.;z;;
3000;Splitsko-dalmatinska;OMIŠ;56;31;31;32;37;31;49;;
3018;Primorsko-goranska;OMIŠALJ;36;50;55;55;57;52;59;;
3026;Primorsko-goranska;OPATIJA;89;102;132;144;117;109;125;;
3034;Brodsko-posavska;OPRISAVCI;.;.;.;.;.;.;.;;
3042;Istarska;OPRTALJ - PORTOLE;.;.;.;.;.;.;.;;
3069;Dubrova?ko-neretvanska;OPUZEN;z;z;z;z;z;.;z;;
3077;Viroviti?ko-podravska;ORAHOVICA;z;z;z;z;10;z;z;;
3085;Dubrova?ko-neretvanska;OREBI?;z;z;z;z;10;15;z;;
6050;Me?imurska;OREHOVICA;.;.;.;.;z;.;.;;
3093;Brodsko-posavska;ORIOVAC;z;.;z;.;z;z;z;;
5428;Zagreba?ka;ORLE;.;.;.;.;.;.;.;;
3115;Krapinsko-zagorska;OROSLAVJE;20;12;z;z;z;19;24;;
3123;Osje?ko-baranjska;OSIJEK;755;655;648;1019;1510;813;949;;
3131;Li?ko-senjska;OTO?AC;10;z;z;z;11;z;11;;
3140;Splitsko-dalmatinska;OTOK;.;.;.;.;.;.;.;;
5355;Vukovarsko-srijemska;OTOK;.;.;z;.;z;.;.;;
3158;Karlova?ka;OZALJ;z;z;z;z;z;.;z;;
3166;Zadarska;PAG;40;43;67;56;78;54;47;;
3174;Zadarska;PAKOŠTANE;29;24;32;21;27;28;23;;
3182;Požeško-slavonska;PAKRAC;13;10;11;11;z;z;16;;
3204;Zadarska;PAŠMAN;20;33;30;24;33;23;44;;
3212;Istarska;PAZIN;20;11;10;26;11;35;22;;
3239;Li?ko-senjska;PERUŠI?;z;z;.;z;.;.;z;;
3247;Koprivni?ko-križeva?ka;PETERANEC;.;.;.;.;.;.;z;;
3255;Osje?ko-baranjska;PETLOVAC;.;.;.;.;.;.;.;;
3263;Varaždinska;PETRIJANEC;.;.;.;z;.;.;z;;
3271;Osje?ko-baranjska;PETRIJEVCI;z;.;.;.;.;.;.;;
3280;Sisa?ko-moslava?ka;PETRINJA;16;12;19;10;26;27;34;;
3298;Krapinsko-zagorska;PETROVSKO;.;.;.;.;.;.;.;;
3301;Istarska;PI?AN;z;.;.;z;.;.;.;;
5819;Šibensko-kninska;PIROVAC;z;z;z;z;z;25;19;;
3310;Zagreba?ka;PISAROVINA;.;.;.;.;.;.;.;;
3328;Viroviti?ko-podravska;PITOMA?A;z;z;z;z;z;z;z;;
3336;Karlova?ka;PLAŠKI;.;.;.;.;.;.;.;;
3344;Požeško-slavonska;PLETERNICA;z;.;.;.;.;.;z;;
4553;Li?ko-senjska;PLITVI?KA JEZERA;z;z;z;z;z;z;16;;
3352;Dubrova?ko-neretvanska;PLO?E;37;17;10;33;48;43;38;;
3379;Splitsko-dalmatinska;PODBABLJE;.;.;.;.;.;.;.;;
3387;Brodsko-posavska;PODCRKAVLJE;.;.;.;.;.;.;.;;
3395;Splitsko-dalmatinska;PODGORA;27;z;z;z;10;13;z;;
3409;Osje?ko-baranjska;PODGORA?;.;.;.;.;z;.;.;;
2712;Osje?ko-baranjska;PODRAVSKA MOSLAVINA;.;.;.;.;.;.;.;;
6165;Koprivni?ko-križeva?ka;PODRAVSKE SESVETE;.;.;.;.;.;.;z;;
3417;Splitsko-dalmatinska;PODSTRANA;12;16;62;35;60;38;54;;
3425;Me?imurska;PODTUREN;.;.;.;z;.;.;z;;
3433;Dubrova?ko-neretvanska;POJEZERJE;.;.;z;.;.;.;.;;
5444;Zagreba?ka;POKUPSKO;.;.;.;z;.;.;.;;
3441;Zadarska;POLA?A;.;z;z;z;z;.;.;;
3450;Zadarska;POLI?NIK;.;.;.;z;.;.;z;;
3468;Osje?ko-baranjska;POPOVAC;.;z;.;z;z;.;z;;
3476;Sisa?ko-moslava?ka;POPOVA?A;14;z;z;z;z;12;z;;
3484;Istarska;PORE? - PARENZO;190;150;182;181;253;271;259;;
3492;Zadarska;POSEDARJE;z;11;z;25;17;25;17;;
3506;Splitsko-dalmatinska;POSTIRA;z;z;z;z;z;z;z;;
5738;Zadarska;POVLJANA;42;34;48;22;26;29;49;;
3514;Požeško-slavonska;POŽEGA;52;43;49;43;76;83;62;;
3522;Krapinsko-zagorska;PREGRADA;.;z;z;z;z;.;14;;
3549;Zadarska;PREKO;10;z;z;17;13;11;20;;
3557;Me?imurska;PRELOG;15;z;10;z;z;z;z;;
3565;Zagreba?ka;PRESEKA;z;.;.;.;.;.;.;;
5894;Splitsko-dalmatinska;PRGOMET;.;.;.;.;.;.;.;;
6203;Me?imurska;PRIBISLAVEC;.;.;z;.;z;.;.;;
5908;Splitsko-dalmatinska;PRIMORSKI DOLAC;.;.;.;.;.;.;.;;
3573;Šibensko-kninska;PRIMOŠTEN;z;z;z;z;27;10;15;;
5835;Vukovarsko-srijemska;PRIVLAKA;11;10;13;z;10;28;51;;
5746;Zadarska;PRIVLAKA;.;.;.;.;.;.;.;;
884;Splitsko-dalmatinska;PROLOŽAC;.;.;.;.;.;.;.;;
2984;Šibensko-kninska;PROMINA;.;.;.;z;.;.;.;;
3581;Splitsko-dalmatinska;PU?IŠ?A;z;.;z;z;.;.;z;;
3590;Istarska;PULA - POLA;386;438;492;420;572;730;703;;
3603;Primorsko-goranska;PUNAT;16;11;23;22;21;11;40;;
3611;Osje?ko-baranjska;PUNITOVCI;.;.;.;.;.;.;.;;
3620;Zagreba?ka;PUŠ?A;.;.;.;.;.;.;.;;
3638;Primorsko-goranska;RAB;52;45;44;52;57;71;61;;
3646;Krapinsko-zagorska;RADOBOJ;z;.;.;.;.;.;.;;
5363;Zagreba?ka;RAKOVEC;.;.;.;.;z;.;.;;
3654;Karlova?ka;RAKOVICA;.;.;.;z;.;.;.;;
3662;Koprivni?ko-križeva?ka;RASINJA;.;.;.;.;.;.;z;;
3689;Istarska;RAŠA;14;z;10;z;10;13;20;;
3697;Primorsko-goranska;RAVNA GORA;.;.;.;.;.;.;z;;
3719;Zadarska;RAŽANAC;z;z;z;z;z;z;z;;
3727;Brodsko-posavska;REŠETARI;.;.;.;.;.;.;.;;
5568;Karlova?ka;RIBNIK;.;.;.;.;.;.;.;;
3735;Primorsko-goranska;RIJEKA;860;878;1091;1129;1285;1217;1277;;
5827;Šibensko-kninska;ROGOZNICA;22;22;11;22;19;33;46;;
3743;Istarska;ROVINJ - ROVIGNO;105;123;128;145;171;224;203;;
3751;Bjelovarsko-bilogorska;ROVIŠ?E;.;.;.;.;.;.;.;;
3760;Zagreba?ka;RUGVICA;z;.;z;z;.;.;z;;
5916;Splitsko-dalmatinska;RUNOVI?I;.;.;.;.;.;.;.;;
3778;Šibensko-kninska;RUŽI?;.;.;.;.;.;.;.;;
3786;Karlova?ka;SABORSKO;.;.;.;.;.;.;.;;
3794;Zadarska;SALI;.;.;z;z;.;.;z;;
3808;Zagreba?ka;SAMOBOR;54;94;67;78;149;161;223;;
3816;Osje?ko-baranjska;SATNICA ?AKOVA?KA;.;.;.;.;.;.;.;;
3824;Splitsko-dalmatinska;SEGET;z;z;z;z;13;11;37;;
3832;Splitsko-dalmatinska;SELCA;z;.;z;z;z;.;z;;
3859;Me?imurska;SELNICA;.;.;.;.;.;.;.;;
3867;Osje?ko-baranjska;SEMELJCI;z;.;.;.;z;.;z;;
3875;Li?ko-senjska;SENJ;36;37;33;30;49;67;68;;
5622;Bjelovarsko-bilogorska;SEVERIN;.;.;.;.;.;.;.;;
3883;Brodsko-posavska;SIBINJ;.;z;.;.;.;.;z;;
5703;Brodsko-posavska;SIKIREVCI;.;.;.;.;.;.;z;;
3891;Splitsko-dalmatinska;SINJ;21;12;27;21;18;24;34;;
3905;Bjelovarsko-bilogorska;SIRA?;.;.;.;.;.;.;.;;
3913;Sisa?ko-moslava?ka;SISAK;135;117;109;105;169;166;196;;
3930;Primorsko-goranska;SKRAD;.;.;.;.;z;.;.;;
3948;Šibensko-kninska;SKRADIN;.;z;z;z;z;.;z;;
3956;Viroviti?ko-podravska;SLATINA;23;30;10;11;17;27;31;;
3964;Brodsko-posavska;SLAVONSKI BROD;189;155;134;159;198;221;192;;
3972;Brodsko-posavska;SLAVONSKI ŠAMAC;z;.;z;.;z;.;.;;
3999;Dubrova?ko-neretvanska;SLIVNO;z;z;z;16;13;z;13;;
4006;Karlova?ka;SLUNJ;z;21;12;z;z;z;z;;
4022;Dubrova?ko-neretvanska;SMOKVICA;.;.;.;z;.;.;.;;
4057;Koprivni?ko-križeva?ka;SOKOLOVAC;.;z;.;.;.;.;z;;
4065;Splitsko-dalmatinska;SOLIN;48;58;41;110;78;97;184;;
4073;Viroviti?ko-podravska;SOPJE;.;.;.;.;.;.;.;;
4090;Splitsko-dalmatinska;SPLIT;718;897;1238;1561;1721;1522;1202;;
4103;Varaždinska;SRA?INEC;.;.;.;z;.;.;.;;
4111;Zadarska;STANKOVCI;.;.;.;.;.;.;.;;
4120;Brodsko-posavska;STARA GRADIŠKA;.;.;.;.;.;z;z;;
4138;Splitsko-dalmatinska;STARI GRAD;z;z;.;z;15;11;z;;
4146;Vukovarsko-srijemska;STARI JANKOVCI;.;.;z;z;.;.;.;;
4154;Vukovarsko-srijemska;STARI MIKANOVCI;.;.;.;.;.;.;z;;
4162;Zadarska;STARIGRAD;11;z;z;10;13;z;18;;
4189;Brodsko-posavska;STARO PETROVO SELO;.;.;.;.;.;.;z;;
4197;Dubrova?ko-neretvanska;STON;.;z;z;.;z;z;z;;
6068;Me?imurska;STRAHONINEC;.;z;.;.;z;.;z;;
4219;Osje?ko-baranjska;STRIZIVOJNA;.;.;.;.;.;.;z;;
4227;Krapinsko-zagorska;STUBI?KE TOPLICE;z;z;z;z;z;z;10;;
5517;Zagreba?ka;STUPNIK;.;.;.;z;.;.;.;;
4235;Splitsko-dalmatinska;SU?URAJ;z;.;z;z;.;z;z;;
4243;Viroviti?ko-podravska;SUHOPOLJE;.;z;z;.;z;.;z;;
4251;Zadarska;SUKOŠAN;z;z;10;z;13;23;20;;
4260;Sisa?ko-moslava?ka;SUNJA;.;z;.;.;.;.;.;;
4278;Splitsko-dalmatinska;SUPETAR;38;27;15;10;31;31;40;;
5924;Splitsko-dalmatinska;SUTIVAN;23;13;z;14;15;14;17;;
6076;Me?imurska;SVETA MARIJA;.;.;.;.;.;.;z;;
4324;Istarska;SVETA NEDELJA;.;.;.;.;.;z;z;;
4367;Zagreba?ka;SVETA NEDELJA;16;14;18;25;49;42;79;;
4375;Varaždinska;SVETI ?UR?;.;.;.;.;.;.;.;;
4286;Zadarska;SVETI FILIP I JAKOV;29;33;27;11;37;36;35;;
4383;Varaždinska;SVETI ILIJA;.;.;.;.;.;.;.;;
4294;Zagreba?ka;SVETI IVAN ZELINA;z;z;z;z;z;z;14;;
4391;Koprivni?ko-križeva?ka;SVETI IVAN ŽABNO;z;.;.;z;.;.;.;;
4405;Me?imurska;SVETI JURAJ NA BREGU;.;.;.;.;.;.;.;;
4308;Krapinsko-zagorska;SVETI KRIŽ ZA?RETJE;z;z;z;z;z;.;z;;
4316;Istarska;SVETI LOVRE?;.;.;.;.;z;.;.;;
4413;Me?imurska;SVETI MARTIN NA MURI;z;z;z;z;z;z;z;;
4421;Koprivni?ko-križeva?ka;SVETI PETAR OREHOVEC;.;.;.;.;.;.;.;;
4332;Istarska;SVETI PETAR U ŠUMI;.;z;.;.;.;.;.;;
4359;Istarska;SVETVIN?ENAT;z;.;.;.;z;.;z;;
5649;Bjelovarsko-bilogorska;ŠANDROVAC;.;.;.;.;.;.;z;;
6084;Me?imurska;ŠENKOVEC;z;.;z;.;z;.;z;;
4430;Splitsko-dalmatinska;ŠESTANOVAC;.;.;.;.;.;.;z;;
4448;Šibensko-kninska;ŠIBENIK;102;106;129;147;230;250;386;;
4456;Zadarska;ŠKABRNJA;.;.;.;.;.;.;.;;
6149;Osje?ko-baranjska;ŠODOLOVCI;.;.;.;.;.;.;.;;
4472;Splitsko-dalmatinska;ŠOLTA;47;27;23;23;45;72;23;;
4499;Viroviti?ko-podravska;ŠPIŠI? BUKOVICA;.;.;.;.;.;.;.;;
4502;Bjelovarsko-bilogorska;ŠTEFANJE;.;.;.;.;.;.;.;;
6289;Vukovarsko-srijemska;ŠTITAR;.;.;.;.;.;.;.;;
4529;Me?imurska;ŠTRIGOVA;z;z;z;.;z;.;.;;
6319;Istarska;TAR-VABRIGA - TORRE-ABREGA;20;27;22;22;32;26;41;;
4537;Istarska;TINJAN;.;z;.;.;.;.;.;;
4545;Šibensko-kninska;TISNO;z;z;z;z;10;14;10;;
5754;Zadarska;TKON;z;z;z;z;z;z;12;;
4561;Vukovarsko-srijemska;TOMPOJEVCI;.;.;.;.;.;.;.;;
4570;Sisa?ko-moslava?ka;TOPUSKO;z;z;z;z;z;z;z;;
4588;Vukovarsko-srijemska;TORDINCI;.;.;.;.;.;.;.;;
5576;Karlova?ka;TOUNJ;z;.;z;.;z;.;z;;
4596;Vukovarsko-srijemska;TOVARNIK;.;.;z;.;.;.;.;;
6262;Šibensko-kninska;TRIBUNJ;15;z;z;z;z;17;28;;
4600;Splitsko-dalmatinska;TRILJ;z;z;z;z;z;.;z;;
4618;Osje?ko-baranjska;TRNAVA;.;.;.;.;.;.;.;;
4626;Varaždinska;TRNOVEC BARTOLOVE?KI;.;.;.;.;z;.;.;;
4634;Splitsko-dalmatinska;TROGIR;53;49;58;48;55;49;75;;
6017;Dubrova?ko-neretvanska;TRPANJ;z;.;.;.;z;.;z;;
4642;Vukovarsko-srijemska;TRPINJA;.;.;.;z;.;.;z;;
5932;Splitsko-dalmatinska;TU?EPI;.;z;z;11;z;.;z;;
4669;Krapinsko-zagorska;TUHELJ;.;.;.;.;.;.;.;;
4677;Li?ko-senjska;UDBINA;.;.;z;z;.;.;z;;
4685;Istarska;UMAG - UMAGO;148;180;155;147;174;305;167;;
4693;Šibensko-kninska;UNEŠI?;.;.;.;.;.;.;.;;
4715;Osje?ko-baranjska;VALPOVO;10;17;z;19;23;10;31;;
4723;Varaždinska;VARAŽDIN;252;213;261;458;391;275;273;;
4731;Varaždinska;VARAŽDINSKE TOPLICE;z;z;z;z;z;.;z;;
4740;Dubrova?ko-neretvanska;VELA LUKA;.;z;z;z;z;z;.;;
4758;Požeško-slavonska;VELIKA;.;.;.;.;.;.;.;;
5410;Zagreba?ka;VELIKA GORICA;124;120;98;129;129;230;273;;
4766;Brodsko-posavska;VELIKA KOPANICA;.;.;.;z;.;.;z;;
4774;Sisa?ko-moslava?ka;VELIKA LUDINA;z;.;z;.;.;.;.;;
4782;Bjelovarsko-bilogorska;VELIKA PISANICA;.;.;.;.;.;.;.;;
5657;Bjelovarsko-bilogorska;VELIKA TRNOVITICA;.;z;.;.;.;.;z;;
5584;Varaždinska;VELIKI BUKOVEC;.;.;.;z;.;.;z;;
4804;Bjelovarsko-bilogorska;VELIKI GR?EVAC;.;.;z;.;z;.;z;;
4812;Krapinsko-zagorska;VELIKO TRGOVIŠ?E;z;z;z;z;z;z;z;;
4839;Bjelovarsko-bilogorska;VELIKO TROJSTVO;.;.;.;.;.;.;.;;
4847;Varaždinska;VIDOVEC;.;.;.;.;z;.;.;;
4855;Osje?ko-baranjska;VILJEVO;.;.;.;.;.;.;.;;
4863;Varaždinska;VINICA;z;.;.;.;z;z;.;;
4871;Vukovarsko-srijemska;VINKOVCI;186;111;121;181;129;142;126;;
4880;Primorsko-goranska;VINODOLSKA OP?INA;z;z;z;z;z;z;z;;
4898;Zadarska;VIR;56;54;58;51;63;107;136;;
4901;Koprivni?ko-križeva?ka;VIRJE;z;z;.;.;z;z;14;;
4910;Viroviti?ko-podravska;VIROVITICA;41;54;44;19;34;62;70;;
4928;Splitsko-dalmatinska;VIS;z;z;z;z;11;z;12;;
4936;Varaždinska;VISOKO;.;.;.;.;.;.;.;;
4944;Osje?ko-baranjska;VIŠKOVCI;.;.;.;.;.;.;.;;
4952;Primorsko-goranska;VIŠKOVO;111;79;88;118;138;114;175;;
4979;Istarska;VIŠNJAN - VISIGNANO;z;z;.;z;z;z;z;;
4987;Istarska;VIŽINADA - VISINADA;.;.;.;.;.;.;z;;
5797;Osje?ko-baranjska;VLADISLAVCI;.;z;.;z;z;.;.;;
4995;Viroviti?ko-podravska;VO?IN;z;z;.;z;.;.;.;;
5002;Šibensko-kninska;VODICE;70;56;53;61;90;111;155;;
5029;Istarska;VODNJAN - DIGNANO;53;54;58;54;77;94;79;;
5843;Vukovarsko-srijemska;VO?INCI;z;.;.;z;.;.;.;;
5037;Karlova?ka;VOJNI?;z;.;.;.;.;.;z;;
5045;Me?imurska;VRATIŠINEC;.;.;.;.;.;.;.;;
5053;Vukovarsko-srijemska;VRBANJA;z;.;.;z;.;.;z;;
5061;Brodsko-posavska;VRBJE;.;.;.;.;.;.;.;;
5070;Primorsko-goranska;VRBNIK;z;z;z;z;z;.;z;;
5088;Zagreba?ka;VRBOVEC;10;10;19;13;12;12;z;;
5096;Primorsko-goranska;VRBOVSKO;z;z;z;z;z;z;10;;
5118;Splitsko-dalmatinska;VRGORAC;z;z;z;z;z;z;z;;
5126;Li?ko-senjska;VRHOVINE;.;z;.;.;z;.;.;;
5134;Splitsko-dalmatinska;VRLIKA;.;z;.;.;z;.;z;;
5142;Brodsko-posavska;VRPOLJE;.;.;z;.;.;.;.;;
5169;Istarska;VRSAR - ORSERA;17;16;10;z;15;20;35;;
6254;Zadarska;VRSI;11;15;13;z;10;42;20;;
5177;Osje?ko-baranjska;VUKA;.;.;.;.;.;.;.;;
5185;Vukovarsko-srijemska;VUKOVAR;284;185;230;207;175;146;147;;
5193;Krapinsko-zagorska;ZABOK;22;13;19;26;36;35;21;;
5207;Zadarska;ZADAR;442;367;378;567;669;687;796;;
5959;Splitsko-dalmatinska;ZADVARJE;.;.;.;.;.;.;z;;
5215;Krapinsko-zagorska;ZAGORSKA SELA;.;.;.;.;.;.;.;;
5223;Splitsko-dalmatinska;ZAGVOZD;.;.;.;.;z;.;.;;
5436;Zagreba?ka;ZAPREŠI?;87;70;96;83;124;143;147;;
5231;Dubrova?ko-neretvanska;ZAŽABLJE;.;.;.;.;.;.;.;;
5240;Viroviti?ko-podravska;ZDENCI;.;.;.;.;z;.;.;;
5258;Zadarska;ZEMUNIK DONJI;.;.;.;.;.;.;.;;
5266;Krapinsko-zagorska;ZLATAR;z;z;z;z;z;z;z;;
5274;Krapinsko-zagorska;ZLATAR BISTRICA;z;z;z;.;z;.;z;;
5282;Splitsko-dalmatinska;ZMIJAVCI;.;.;.;.;.;.;.;;
5665;Bjelovarsko-bilogorska;ZRINSKI TOPOLOVAC;.;.;.;.;.;.;.;;
5304;Karlova?ka;ŽAKANJE;.;.;.;.;.;.;.;;
5312;Istarska;ŽMINJ;z;z;.;z;.;.;z;;
5401;Zagreba?ka;ŽUMBERAK;.;.;.;.;.;.;.;;
6025;Dubrova?ko-neretvanska;ŽUPA DUBROVA?KA;16;26;25;16;28;21;28;;
5347;Vukovarsko-srijemska;ŽUPANJA;31;31;22;19;28;23;22;;
